DBN,School,Cleanliness
01M034,P.S. 034 Franklin D. Roosevelt,0.142857143
01M140,P.S. 140 Nathan Straus,0.426356589
01M184,P.S. 184m Shuang Wen,0.575342466
01M188,P.S. 188 The Island School,0.964285714
01M292,Henry Street School for International Studies,0.106060606
01M301,"Technology, Arts, and Sciences Studio",-0.040816327
01M332,University Neighborhood Middle School,0.534246575
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",0.010309278
01M378,School for Global Leaders,0.142857143
01M448,University Neighborhood High School,0.66507177
01M450,East Side Community School,0.675417661
01M458,Forsyth Satellite Academy,0.860465116
01M509,Marta Valle High School,-0.15
01M515,Lower East Side Preparatory High School,0.817629179
01M539,"New Explorations into Science, Technology and Math High School",0.331592689
01M650,Cascades High School,0.836363636
01M696,Bard High School Early College,0.604255319
01M839,Tompkins Square Middle School,0.369565217
02M047,47 The American Sign Language and English Secondary School,-0.008
02M104,J.H.S. 104 Simon Baruch,0.341517857
02M111,P.S. 111 Adolph S. Ochs,-0.288888889
02M114,East Side Middle School,0.95215311
02M126,P.S. 126 Jacob August Riis,0.768211921
02M131,M.S. 131,0.409638554
02M135,The Urban Assembly School for Emergency Management,0.704142012
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.666666667
02M167,J.H.S. 167 Robert F. Wagner,0.349487418
02M177,Yorkville East Middle School,0.644444444
02M217,P.S./I.S. 217 Roosevelt Island,0.87755102
02M225,Ella Baker School,0.265306122
02M255,M.S. 255 Salk School of Science,0.866666667
02M260,M.S. 260 Clinton School Writers & Artists,0.48245614
02M276,BATTERY PARK CITY SCHOOL,0.61627907
02M280,Manhattan Early College School for Advertising,0.75
02M282,Urban Assembly Maker Academy,0.675675676
02M288,Food and Finance High School,0.265454545
02M289,I.S. 289,0.658730159
02M294,Essex Street Academy,0.46835443
02M296,High School of Hospitality Management,0.477272727
02M298,Pace High School,0.295454545
02M300,"Urban Assembly School of Design and Construction, The",0.366795367
02M303,"Facing History School, The",0.595959596
02M305,"Urban Assembly Academy of Government and Law, The",0.220657277
02M308,Lower Manhattan Arts Academy,0.148288973
02M312,New York City Lab Middle School for Collaborative Studies,-0.083870968
02M313,"James Baldwin School, The: A School for Expeditionary Learning",0.67816092
02M316,"Urban Assembly School of Business for Young Women, the",0.136363636
02M347,The 47 American Sign Language & English Lower School,-0.043478261
02M374,Gramercy Arts High School,-0.229219144
02M376,NYC iSchool,0.678929766
02M392,MANHATTAN BUSINESS ACADEMY,0.202846975
02M393,BUSINESS OF SPORTS SCHOOL,0.495384615
02M394,EMMA LAZARUS HIGH SCHOOL,0.914110429
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.077966102
02M400,High School for Environmental Studies,0.378212974
02M407,Institute for Collaborative Education,0.375375375
02M408,Professional Performing Arts High School,-0.299492386
02M411,Baruch College Campus High School,0.490909091
02M412,N.Y.C. Lab School for Collaborative Studies,-0.014861996
02M413,School of the Future High School,0.162705667
02M414,N.Y.C. Museum School,0.23902439
02M416,Eleanor Roosevelt High School,0.797938144
02M418,Millennium High School,0.878676471
02M419,Landmark High School,0.421052632
02M420,High School for Health Professions and Human Services,0.561377246
02M422,Quest to Learn,-0.216931217
02M425,Leadership and Public Service High School,0.502008032
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.754010695
02M429,Legacy School for Integrated Studies,0.692307692
02M432,Murray Hill Academy,0.594059406
02M437,Hudson High School of Learning Technologies,0.359223301
02M438,International High School at Union Square,0.398843931
02M439,Manhattan Village Academy,0.754768392
02M442,"Ballet Tech, NYC Public School for Dance",0.7
02M449,Vanguard High School,0.570032573
02M459,Manhattan International High School,0.711864407
02M460,Washington Irving High School,0.428571429
02M473,Washington Irving Yabc,0.652173913
02M475,Stuyvesant High School,0.775193798
02M489,High School of Economics and Finance,0.641732283
02M500,Unity Center for Urban Technologies,0.7
02M507,Urban Assembly Gateway School for Technology,0.623762376
02M519,Talent Unlimited High School,0.233256351
02M520,Murry Bergtraum High School for Business Careers,0.102739726
02M529,Jacqueline Kennedy Onassis High School,0.259515571
02M531,Repertory Company High School for Theatre Arts,0.74863388
02M533,Union Square Academy for Health Sciences,0.065326633
02M534,Harvest Collegiate High School,0.226277372
02M542,Manhattan Bridges High School,0.791666667
02M543,New Design High School,0.253846154
02M545,High School for Dual Language and Asian Studies,0.598901099
02M546,Academy for Software Engineering,0.230769231
02M550,Liberty High School Academy for Newcomers,0.653846154
02M551,Urban Assembly New York Harbor School,0.611111111
02M560,High School M560 - City As School,0.863013699
02M565,Urban Academy Laboratory High School,0.775280899
02M570,Satellite Academy High School,0.926470588
02M575,Manhattan Comprehensive Night and Day High School,0.951515152
02M580,Richard R. Green High School of Teaching,0.368770764
02M586,Harvey Milk High School,0.894736842
02M600,The High School of Fashion Industries,0.055478502
02M605,Humanities Preparatory Academy,0.616666667
02M615,Chelsea Career and Technical Education High School,0.455737705
02M625,High School of Graphic Communication Arts,0.333333333
02M630,Art and Design High School,0.255892256
02M655,Life Sciences Secondary School,-0.241573034
02M896,Lower Manhattan Community Middle School,0.851239669
02M933,City Knoll Middle School,0.44
03M054,J.H.S. 054 Booker T. Washington,0.527322404
03M076,P.S. 076 A. Philip Randolph,0.744360902
03M149,P.S. 149 Sojourner Truth,-0.225806452
03M165,P.S. 165 Robert E. Simon,0.511904762
03M180,P.S. 180 Hugo Newman,0.235772358
03M191,P.S. 191 Amsterdam,-0.129770992
03M243,M.S. 243 Center School,0.703225806
03M245,M.S. M245 The Computer School,0.466666667
03M247,M.S. M247 Dual Language Middle School,0.952380952
03M250,M.S. 250 West Side Collaborative Middle School,0.675324675
03M256,M.S. 256 Academic & Athletic Excellence,0.3125
03M258,Community Action School - MS 258,0.479591837
03M283,Manhattan Theatre Lab High School,-0.170731707
03M299,"High School for Arts, Imagination and Inquiry",0.155234657
03M307,"Urban Assembly School for Media Studies, The",0.386759582
03M333,P.S. 333 Manhattan School for Children,0.572327044
03M334,The Anderson School,0.371794872
03M402,The Urban Assembly School for Green Careers,-0.055276382
03M403,The Global Learning Collaborative,0.342222222
03M404,Innovation Diploma Plus,0.836065574
03M415,Wadleigh Secondary School for the Performing & Visual Arts,0.245136187
03M417,FRANK McCOURT HIGH SCHOOL,0.40952381
03M421,West Prep Academy,0.282051282
03M479,Beacon High School,0.646522235
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.069457659
03M492,"High School for Law, Advocacy and Community Justice",-0.058064516
