DBN,School Name,Curriculum Score,Curved Curriculum Score
01M015,P.S. 015 Roberto Clemente,0.654929577,0.654929577
01M019,P.S. 019 Asher Levy,0.854700855,0.846110824
01M020,P.S. 020 Anna Silver,0.165816327,0.140807429
01M034,P.S. 034 Franklin D. Roosevelt,0.52173913,0.402045306
01M063,The STAR Academy - P.S.63,0.463541667,0.427403244
01M064,P.S. 064 Robert Simon,0.888392857,0.695688896
01M110,P.S. 110 Florence Nightingale,0.387931034,0.344897239
01M134,P.S. 134 Henrietta Szold,0.533950617,0.514927464
01M137,P.S. 137 John L. Bernstein,0.25,0.201907027
01M140,P.S. 140 Nathan Straus,0.578313253,0.542529887
01M142,P.S. 142 Amalia Castro,0.525,0.495300565
01M184,P.S. 184m Shuang Wen,0.317010309,0.285366234
01M188,P.S. 188 The Island School,1,0.916618391
01M292,Henry Street School for International Studies,0.24702381,0.24702381
01M301,"Technology, Arts, and Sciences Studio",0.344444444,0.313847026
01M315,The East Village Community School,0.693333333,0.693333333
01M332,University Neighborhood Middle School,0.825,0.825
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",0.458333333,0.38653367
01M361,The Children's Workshop School,0.761904762,0.660166558
01M363,Neighborhood School,0.746031746,0.671562607
01M364,Earth School,0.788732394,0.788732394
01M378,School for Global Leaders,0.524305556,0.524305556
01M448,University Neighborhood High School,0.725,0.664548334
01M450,East Side Community School,0.773809524,0.750239899
01M458,Forsyth Satellite Academy,0.625,0.569480491
01M509,Marta Valle High School,0.234375,0.224807345
01M515,Lower East Side Preparatory High School,0.682038835,0.671730747
01M539,"New Explorations into Science, Technology and Math High School",0.324367089,0.243774401
01M650,Cascades High School,0.507575758,0.507575758
01M696,Bard High School Early College,0.442528736,0.408028513
01M839,Tompkins Square Middle School,0.446969697,0.379556436
02M001,P.S. 001 Alfred E. Smith,0.549450549,0.488499142
02M002,P.S. 002 Meyer London,0.314748201,0.274512878
02M003,P.S. 003 Charrette School,0.702173913,0.620346907
02M006,P.S. 006 Lillie D. Blake,0.714912281,0.659176617
02M011,P.S. 011 William T. Harris,0.684131737,0.684131737
02M033,P.S. 033 Chelsea Prep,0.642857143,0.530772823
02M040,P.S. 040 Augustus Saint-Gaudens,0.732142857,0.621718956
