DBN,Curved Score
01M539,59.68
02M294,68.8
02M308,53.58
02M545,37.58
01M292,50.8
01M696,56.29
02M305,42.19
01M509,34.81
01M448,44.86
02M543,51.75
02M298,56.8
02M420,171.64
02M399,45.18
02M438,28.61
02M407,63.4
02M374,55.15
02M551,34.42
02M580,71.61
02M418,95
02M316,45.5
02M489,75.07
02M425,83.5
01M450,123.95
02M411,39.14
02M413,43.5
02M439,50.63
02M412,50.92
02M437,83.43
02M392,71.2
02M419,69
02M600,192.42
02M414,27.9
02M615,49.02
02M376,62.37
02M427,63.8
02M500,30.8
02M393,32.18
02M303,82.4
02M296,57.68
02M300,57.14
02M400,141.64
02M630,42.1
02M542,78
02M507,70.72
02M288,49.92
02M416,61.8
03M299,46.8
03M307,57.8
03M479,69.14
03M485,61.23
03M494,14.74
03M541,46.91
03M492,88.95
03M402,42.83
03M417,60.62
03M403,33.87
03M415,52.07
03M860,42.57
05M362,21.11
05M367,30.01
05M369,42.17
04M680,36.69
04M555,75.28
04M495,82.4
04M610,76.8
04M435,118.57
05M304,41.8
05M670,35.27
05M692,65.61
06M540,135.2
06M552,26.71
06M346,138
06M348,39.59
04M409,36.28
02M531,38
02M408,35.45
02M529,60.07
02M520,20.73
05M499,64.73
06M463,34.3
06M462,58.51
06M467,37.31
06M293,62.72
06M468,75
02M459,28.02
02M519,45.13
02M449,86.8
02M655,41.68
02M475,312.23
31R600,90.8
31R080,160.79
31R450,174.9
31R445,183.66
31R605,127.85
31R440,428
31R455,351.45
31R460,332.39
31R064,39.21
31R047,53.15
07X547,6.79
09X505,101.53
07X548,69.52
07X527,45.83
07X551,72.31
07X670,87.31
07X427,56.84
07X600,15.01
09X365,53.8
07X221,91.93
07X334,70.2
07X500,14.45
07X495,41.24
07X473,46.4
09X543,38.31
09X403,57.76
12X479,65.8
09X260,64.96
09X324,87.6
09X250,72.04
12X267,131.2
09X404,59
09X297,65.46
09X517,50.83
09X241,115.45
09X227,50.62
09X252,44.55
09X525,55.06
09X263,34.22
09X413,78.8
09X231,31.32
09X412,57.67
09X329,66
10X225,85.15
10X243,69.25
10X439,62.73
10X434,32.03
10X437,64.33
10X374,99
10X438,75.28
12X248,20.97
08X332,30.18
08X530,6.75
08X269,43.28
12X278,35.4
12X271,67.62
12X511,40.7
12X682,91.8
12X251,27.46
12X372,23.8
12X684,39.45
08X293,54.74
08X405,44.96
11X418,10.73
10X368,76.23
10X284,23.21
10X213,31.55
10X546,66.4
10X477,51.37
10X237,13.15
10X141,142.94
11X513,54.44
11X514,22.37
11X270,40.57
11X544,12.98
11X545,27.69
11X290,55
11X275,57.14
11X265,58.31
11X253,30.07
10X433,68.69
10X445,55.97
10X268,46.59
10X549,55.72
10X442,55.68
10X696,56.08
10X440,124.01
10X342,76.42
11X299,66.4
11X542,46.4
11X509,64.9
11X288,44.35
11X508,77.8
12X388,80.4
12X478,32.27
12X692,31.01
12X242,115
12X521,18
12X550,48.32
08X312,57.5
08X452,52.43
08X367,51.56
08X305,56.52
08X282,13.61
08X519,43.83
08X376,4.78
11X249,27.46
11X455,75.27
24Q600,173.71
24Q267,62.6
24Q520,32.74
30Q301,91.6
24Q610,125.38
30Q575,43.57
30Q555,119.15
24Q299,56.37
24Q530,55.15
30Q502,100.76
24Q560,66.58
24Q264,58.4
30Q286,76.8
30Q445,41.46
30Q450,192.42
30Q501,89.69
30Q580,26.92
13K419,63.12
13K439,69.2
15K497,52.01
15K429,34.22
13K674,49.6
13K527,92.32
13K483,56.69
15K519,31.75
13K605,59.53
13K350,32.3
18K629,47.63
18K569,16.06
17K531,74.4
18K563,104.2
17K546,48.44
18K589,16.96
17K533,23.52
20K609,56.69
20K505,347.17
13K412,47.79
13K265,27.72
13K670,31.39
14K071,147.41
14K449,108.69
14K454,35.03
14K586,105.81
19K510,43.8
19K502,25.68
19K660,76.19
19K504,35.48
19K507,38.04
19K409,60.31
19K639,45.2
19K583,47.51
19K683,54.35
19K615,106.71
19K659,20.02
19K404,74.99
19K618,94
20K490,407.3
22K405,101.93
14K474,108.66
14K478,44.03
14K488,39.95
14K685,28.19
14K477,74.12
14K561,104.28
14K558,104.8
23K514,35.2
23K697,43.44
17K122,34.18
17K751,43.99
16K455,45.13
21K348,36.23
21K690,49.56
21K337,54.6
21K572,67.2
20K445,239.43
21K559,48.2
21K468,105.6
15K463,23.03
15K684,132.6
15K464,62.43
15K462,17.12
13K595,29.17
15K656,77.98
13K430,256.33
22K555,71
20K485,142.52
32K545,26.71
16K498,17.25
16K688,28.66
32K556,44.51
14K610,37.91
14K632,29.8
21K540,201.47
21K344,60.03
17K548,49.88
17K547,64.7
17K590,14.74
17K600,103.87
17K524,73
17K528,44.4
17K543,48.32
17K382,38.24
17K537,34.52
17K539,27.98
17K408,38.2
22K425,89.65
21K525,256.77
15K448,102.35
15K667,161.24
23K493,51.4
16K594,25.02
22K535,25.54
21K410,204.51
21K620,71.37
18K642,46.67
18K566,51.93
18K633,42.85
18K617,46.4
18K576,39
18K567,35.59
18K637,45.15
32K554,44.2
32K549,57.58
32K403,49.67
32K552,64
13K499,61.7
25Q460,75.64
25Q281,95.25
25Q263,85
25Q285,85.91
26Q495,273.24
26Q415,88.32
26Q430,467.9
25Q252,105.6
25Q670,93.69
25Q425,391.6
25Q525,74.48
24Q550,69.92
24Q293,60.31
24Q585,75.87
24Q296,31.32
24Q455,200.33
28Q440,166.17
28Q686,141.57
24Q485,61.61
29Q498,45
29Q492,12.32
29Q259,50.26
29Q265,81.6
29Q283,67.42
29Q248,5.08
29Q272,43.19
27Q650,92.6
27Q480,269.96
27Q308,69.95
27Q475,73.37
29Q326,44.2
26Q566,96.64
26Q435,176.76
28Q680,16.88
28Q350,57.83
28Q328,80.33
28Q896,38.27
28Q310,68.81
28Q505,363.32
28Q620,257.2
28Q325,74.3
28Q284,85
28Q687,22.51
28Q690,45.49
27Q400,43.12
27Q260,32.8
27Q309,82.95
27Q302,57.8
27Q324,59
27Q262,131.6
27Q351,21.16
27Q323,176.61
