DBN,School Name,Loyalty Score,Curved Loyalty Score
01M015,P.S. 015 Roberto Clemente,0.448863636,0.448863636
01M019,P.S. 019 Asher Levy,0.775641026,0.767845573
01M020,P.S. 020 Anna Silver,0.257575758,0.218727437
01M034,P.S. 034 Franklin D. Roosevelt,0.315217391,0.242902372
01M063,The STAR Academy - P.S.63,0.379032258,0.349482319
01M064,P.S. 064 Robert Simon,0.888157895,0.6955049
01M110,P.S. 110 Florence Nightingale,0.25,0.22226711
01M134,P.S. 134 Henrietta Szold,0.62962963,0.607197703
01M137,P.S. 137 John L. Bernstein,0.177083333,0.143017477
01M140,P.S. 140 Nathan Straus,0.611607143,0.573763704
01M142,P.S. 142 Amalia Castro,0.4375,0.412750471
01M184,P.S. 184m Shuang Wen,0.181818182,0.16366903
01M188,P.S. 188 The Island School,1,0.916618391
01M292,Henry Street School for International Studies,0.321428571,0.321428571
01M301,"Technology, Arts, and Sciences Studio",0.516666667,0.47077054
01M315,The East Village Community School,0.572916667,0.572916667
01M332,University Neighborhood Middle School,0.659090909,0.659090909
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",0.35,0.295171166
01M361,The Children's Workshop School,0.678571429,0.587960841
01M363,Neighborhood School,0.81547619,0.734075084
01M364,Earth School,0.848958333,0.848958333
01M378,School for Global Leaders,0.407608696,0.407608696
01M448,University Neighborhood High School,0.660714286,0.605622866
01M450,East Side Community School,0.818877551,0.79393519
01M458,Forsyth Satellite Academy,0.565789474,0.515529708
01M509,Marta Valle High School,0.25,0.239794501
01M515,Lower East Side Preparatory High School,0.72761194,0.716615077
01M539,"New Explorations into Science, Technology and Math High School",0.1,0.075153864
01M650,Cascades High School,0.619047619,0.619047619
01M696,Bard High School Early College,0.74137931,0.683580236
01M839,Tompkins Square Middle School,0.721590909,0.612758483
02M001,P.S. 001 Alfred E. Smith,0.516666667,0.459352027
02M002,P.S. 002 Meyer London,0.431318681,0.37618176
02M003,P.S. 003 Charrette School,0.817307692,0.722063708
02M006,P.S. 006 Lillie D. Blake,0.667763158,0.615703313
02M011,P.S. 011 William T. Harris,0.668981481,0.668981481
02M033,P.S. 033 Chelsea Prep,0.725490196,0.598998523
02M040,P.S. 040 Augustus Saint-Gaudens,0.654545455,0.555825018
02M041,P.S. 041 Greenwich Village,0.847826087,0.813216135
02M042,P.S. 042 Benjamin Altman,0.7075,0.674923914
02M047,47 The American Sign Language and English Secondary School,0.470588235,0.458673973
02M051,P.S. 051 Elias Howe,0.87,0.820783794
02M059,P.S. 059 Beekman Hill International,0.174242424,0.15491344
02M077,P.S. 77 Lower Lab School,0.823529412,0.823529412
02M089,P.S. 89,0.825471698,0.825471698
02M104,J.H.S. 104 Simon Baruch,0.564236111,0.561407854
02M111,P.S. 111 Adolph S. Ochs,0.225,0.1844272
02M114,East Side Middle School,0.834677419,0.834677419
02M116,P.S. 116 Mary Lindley Murray,0.553125,0.521834524
02M124,P.S. 124 Yung Wing,0.150510204,0.143580122
02M126,P.S. 126 Jacob August Riis,0.722222222,0.658066346
02M130,P.S. 130 Hernando De Soto,0.830357143,0.830357143
02M131,M.S. 131,0.607142857,0.591771331
02M135,The Urban Assembly School for Emergency Management,0.463235294,0.463235294
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.823529412,0.823529412
02M150,P.S. 150,0.652777778,0.652777778
02M151,Yorkville Community School,0.703947368,0.696872461
02M158,P.S. 158 Bayard Taylor,0.26,0.190351344
02M167,J.H.S. 167 Robert F. Wagner,0.565705128,0.545550651
02M177,Yorkville East Middle School,1,1
02M183,P.S. 183 Robert L. Stevenson,0.775735294,0.698301137
02M198,P.S. 198 Isador E. Ida Straus,0.450892857,0.388100586
02M212,P.S. 212 Midtown West,0.854166667,0.854166667
02M217,P.S./I.S. 217 Roosevelt Island,0.575892857,0.508781865
02M225,Ella Baker School,0.661764706,0.580918478
