DBN,SLT Curved
01M539,57.8
02M294,59.2
02M308,41.9
02M545,28.5
01M292,46
01M696,61.9
02M305,39.2
01M509,46.4
01M448,39.8
02M543,50.3
02M298,58.4
02M420,148.1
02M399,43.4
02M438,26.1
02M407,54
02M374,58.4
02M551,38.2
02M580,84.1
02M418,68.8
02M316,46.4
02M489,78.1
02M425,73.5
01M450,82
02M411,37.5
02M413,28.5
02M439,43.4
02M412,37
02M437,56.7
02M392,61.6
02M419,59.8
02M600,179
02M414,18.7
02M615,44.1
02M376,37
02M427,62
02M500,32.6
02M393,41.2
02M303,87.8
02M296,60.7
02M300,58.8
02M400,154.8
02M630,45.7
02M542,72.2
02M507,64.5
02M288,56.7
02M416,77.6
03M299,38.6
03M307,63.9
03M479,60.7
03M485,55.5
03M494,20.1
03M541,32.8
03M492,76.2
03M402,31.8
03M417,56.5
03M403,34.9
03M415,73.5
03M860,45.1
05M362,23.2
05M367,30.3
05M369,42.7
04M680,36.1
04M555,58.8
04M495,60.6
04M610,57.8
04M435,93.6
05M304,44.2
05M670,38.2
05M692,64.2
06M540,133.2
06M552,22.9
06M346,119.8
06M348,12.7
04M409,35.2
02M531,25.4
02M408,39.9
02M529,71
02M520,21.7
05M499,61.8
06M463,30.4
06M462,43
06M467,39.3
06M293,73.9
06M468,95.2
02M459,31.8
02M519,43.1
02M449,75.2
02M655,36.6
02M475,330.5
31R600,101
31R080,124.6
31R450,194.5
31R445,177.3
31R605,97.9
31R440,399.2
31R455,342.9
31R460,316.5
31R064,30.5
31R047,50.6
07X547,6.2
09X505,91.7
07X548,57.4
07X527,38.4
07X551,70.2
07X670,90.6
07X427,44.9
07X600,18.7
09X365,50
07X221,86.9
07X334,61.2
07X500,14.4
07X495,27.7
07X473,53.6
09X543,41.3
09X403,59.2
12X479,73.6
09X260,53.2
09X324,84.4
09X250,68.3
12X267,105.8
09X404,54.2
09X297,79.2
09X517,53.2
09X241,114.3
09X227,49.7
09X252,58.2
09X525,51.4
09X263,36.5
09X413,79
09X231,24.7
09X412,56.4
09X329,60
10X225,82.3
10X243,67.2
10X439,53
10X434,34.1
10X437,67.5
10X374,101
10X438,70.6
12X248,20.1
08X332,23.5
08X530,7.7
08X269,56.6
12X278,32.2
12X271,75.6
12X511,46.8
12X682,80
12X251,25
12X372,10.6
12X684,50.2
08X293,56
08X405,44.3
11X418,11.8
10X368,96.9
10X284,28.2
10X213,40
10X546,52.4
10X477,39.1
10X237,20.7
10X141,145.7
11X513,47.9
11X514,22
11X270,36.5
11X544,10.9
11X545,27.5
11X290,56.2
11X275,54.9
11X265,56.4
11X253,40.5
10X433,63.6
10X445,62
10X268,47.5
10X549,26.7
10X442,67.5
10X696,57.2
10X440,142.7
10X342,73
11X299,67.8
11X542,36.6
11X509,48.9
11X288,39.2
11X508,88.6
12X388,57.4
12X478,23.1
12X692,35.2
12X242,103.4
12X521,12.4
12X550,52.1
08X312,63
08X452,32.5
08X367,50.8
08X305,50.2
08X282,12.1
08X519,46
08X376,7.2
11X249,20.3
11X455,67.2
24Q600,173.2
24Q267,63.2
24Q520,36.3
30Q301,60.8
24Q610,111.6
30Q575,43.3
30Q555,125.4
24Q299,57
24Q530,49.2
30Q502,108.8
24Q560,77.3
24Q264,59.4
30Q286,54.9
30Q445,44.3
30Q450,203
30Q501,91.5
30Q580,15.3
13K419,69.5
13K439,56.4
15K497,56
15K429,27.1
13K674,61.8
13K527,75.5
13K483,47.6
15K519,31.6
13K605,70.4
13K350,33.5
18K629,51.1
18K569,12.1
17K531,66
18K563,101.2
17K546,45.5
18K589,11.6
17K533,30.1
20K609,39.4
20K505,342.2
13K412,42.4
13K265,26.1
13K670,33.1
14K071,149.8
14K449,75.1
14K454,38
14K586,92.9
19K510,47.6
19K502,32.1
19K660,84.5
19K504,41
19K507,35.5
19K409,53.4
19K639,67.4
19K583,44.9
19K683,58
19K615,120.6
19K659,25
19K404,72.1
19K618,87
20K490,417.4
22K405,97.1
14K474,96.2
14K478,40.9
14K488,37.7
14K685,25.9
14K477,85.9
14K561,79.2
14K558,85.8
23K514,44.8
23K697,49.6
17K122,29.6
17K751,52.1
16K455,56.2
21K348,29.8
21K690,64.4
21K337,36.6
21K572,46
20K445,230.3
21K559,48.6
21K468,84.4
15K463,20.5
15K684,105.6
15K464,51.3
15K462,14.2
13K595,30.1
15K656,86.2
13K430,272.4
22K555,64
20K485,119.4
32K545,33.4
16K498,17.6
16K688,28.1
32K556,43.1
14K610,38.8
14K632,31.8
21K540,176.9
21K344,62.1
17K548,52.5
17K547,73.9
17K590,13.6
17K600,119
17K524,74.6
17K528,41.2
17K543,35.9
17K382,40.9
17K537,25
17K539,22.1
17K408,39.5
22K425,81.8
21K525,260.9
15K448,112.5
15K667,158.1
23K493,55.6
16K594,22.9
22K535,27.1
21K410,203.4
21K620,79.5
18K642,58.2
18K566,59.1
18K633,57.7
18K617,31.4
18K576,53.2
18K567,36.1
18K637,43
32K554,37.2
32K549,58.9
32K403,49.5
32K552,62.2
13K499,77.6
25Q460,88.5
25Q281,109.1
25Q263,53.8
25Q285,71.8
26Q495,301
26Q415,97.1
26Q430,432.2
25Q252,96.6
25Q670,96.4
25Q425,346.8
25Q525,79.9
24Q550,75.5
24Q293,53
24Q585,49.7
24Q296,29
24Q455,187.6
28Q440,166.7
28Q686,134.3
24Q485,66.5
29Q498,55.5
29Q492,11
29Q259,47.9
29Q265,71.6
29Q283,67.4
29Q248,5.5
29Q272,51.9
27Q650,77.8
27Q480,275.1
27Q308,71
27Q475,89.1
29Q326,37.8
26Q566,94.9
26Q435,204.1
28Q680,18.9
28Q350,64.3
28Q328,70.8
28Q896,42.5
28Q310,50.3
28Q505,307.7
28Q620,254
28Q325,53.8
28Q284,80.8
28Q687,17.2
28Q690,52.1
27Q400,48
27Q260,41.8
27Q309,88.6
27Q302,53.2
27Q324,49.7
27Q262,122.2
27Q351,22.3
27Q323,154.7
