DBN,Scool Name,Safety Score,
01M034,P.S. 034 Franklin D. Roosevelt,0.61567377,
01M140,P.S. 140 Nathan Straus,0.805816115,
01M184,P.S. 184m Shuang Wen,0.904191617,
01M188,P.S. 188 The Island School,0.984886362,
01M292,Henry Street School for International Studies,0.401099021,
01M301,"Technology, Arts, and Sciences Studio",0.659013146,
01M332,University Neighborhood Middle School,0.920363399,
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",0.728475538,
01M378,School for Global Leaders,0.630913326,
01M448,University Neighborhood High School,0.742006649,
01M450,East Side Community School,0.800376609,
01M458,Forsyth Satellite Academy,0.613436689,
01M509,Marta Valle High School,0.540484511,
01M515,Lower East Side Preparatory High School,0.778842077,
01M539,"New Explorations into Science, Technology and Math High School",0.784163549,
01M650,Cascades High School,0.669984856,
01M696,Bard High School Early College,0.939682518,
01M839,Tompkins Square Middle School,0.690672796,
02M047,47 The American Sign Language and English Secondary School,0.753588824,
02M104,J.H.S. 104 Simon Baruch,0.658201779,
02M111,P.S. 111 Adolph S. Ochs,0.658259416,
02M114,East Side Middle School,0.953369538,
02M126,P.S. 126 Jacob August Riis,0.874382918,
02M131,M.S. 131,0.748832319,
02M135,The Urban Assembly School for Emergency Management,0.848528284,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.677510433,
02M167,J.H.S. 167 Robert F. Wagner,0.68557335,
02M177,Yorkville East Middle School,0.962962963,
02M217,P.S./I.S. 217 Roosevelt Island,0.903796214,
02M225,Ella Baker School,0.803731843,
02M255,M.S. 255 Salk School of Science,0.951748493,
02M260,M.S. 260 Clinton School Writers & Artists,0.923330965,
02M276,BATTERY PARK CITY SCHOOL,0.854435493,
02M280,Manhattan Early College School for Advertising,0.760727565,
02M282,Urban Assembly Maker Academy,0.744296105,
02M288,Food and Finance High School,0.653401439,
02M289,I.S. 289,0.75,
02M294,Essex Street Academy,0.777133523,
02M296,High School of Hospitality Management,0.705938063,
02M298,Pace High School,0.901777189,
02M300,"Urban Assembly School of Design and Construction, The",0.603136524,
02M303,"Facing History School, The",0.798314448,
02M305,"Urban Assembly Academy of Government and Law, The",0.658819469,
