DBN,School Name,Teacher Expectation
01M034,P.S. 034 Franklin D. Roosevelt,0.571379933
01M140,P.S. 140 Nathan Straus,0.691731037
01M184,P.S. 184m Shuang Wen,0.792227205
01M188,P.S. 188 The Island School,0.984886362
01M292,Henry Street School for International Studies,0.394808692
01M301,"Technology, Arts, and Sciences Studio",0.573298364
01M332,University Neighborhood Middle School,0.7454799
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",0.550525664
01M378,School for Global Leaders,0.62408758
01M448,University Neighborhood High School,0.547582101
01M450,East Side Community School,0.670798439
01M458,Forsyth Satellite Academy,0.449051694
01M509,Marta Valle High School,0.465998953
01M515,Lower East Side Preparatory High School,0.624096479
01M539,"New Explorations into Science, Technology and Math High School",0.593974365
01M650,Cascades High School,0.514683227
01M696,Bard High School Early College,0.824951129
01M839,Tompkins Square Middle School,0.631579991
02M047,47 The American Sign Language and English Secondary School,0.582475765
02M104,J.H.S. 104 Simon Baruch,0.701004489
02M111,P.S. 111 Adolph S. Ochs,0.510942279
02M114,East Side Middle School,0.739604426
02M126,P.S. 126 Jacob August Riis,0.784810332
02M131,M.S. 131,0.734611052
02M135,The Urban Assembly School for Emergency Management,0.632277143
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.5558511
02M167,J.H.S. 167 Robert F. Wagner,0.657726061
02M177,Yorkville East Middle School,0.783410138
02M217,P.S./I.S. 217 Roosevelt Island,0.758798636
02M225,Ella Baker School,0.699910336
02M255,M.S. 255 Salk School of Science,0.783213859
02M260,M.S. 260 Clinton School Writers & Artists,0.770654191
02M276,BATTERY PARK CITY SCHOOL,0.63601876
02M280,Manhattan Early College School for Advertising,0.713182092
02M282,Urban Assembly Maker Academy,0.602979419
02M288,Food and Finance High School,0.530839178
02M289,I.S. 289,0.634029591
02M294,Essex Street Academy,0.580161665
02M296,High School of Hospitality Management,0.583804043
02M298,Pace High School,0.606942989
02M300,"Urban Assembly School of Design and Construction, The",0.534562862
02M303,"Facing History School, The",0.640473822
02M305,"Urban Assembly Academy of Government and Law, The",0.554562957
02M308,Lower Manhattan Arts Academy,0.500492457
02M312,New York City Lab Middle School for Collaborative Studies,0.726164244
02M313,"James Baldwin School, The: A School for Expeditionary Learning",0.39340014
02M316,"Urban Assembly School of Business for Young Women, the",0.499912558
02M347,The 47 American Sign Language & English Lower School,0.768798663
02M374,Gramercy Arts High School,0.530699193
02M376,NYC iSchool,0.617835489
02M392,MANHATTAN BUSINESS ACADEMY,0.532057293
02M393,BUSINESS OF SPORTS SCHOOL,0.535448528
02M394,EMMA LAZARUS HIGH SCHOOL,0.679624766
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.521981674
02M400,High School for Environmental Studies,0.540531272
02M407,Institute for Collaborative Education,0.675288423
02M408,Professional Performing Arts High School,0.557647989
02M411,Baruch College Campus High School,0.65924747
02M412,N.Y.C. Lab School for Collaborative Studies,0.6975946
02M413,School of the Future High School,0.695390206
