DBN,School Name,Curved Teacher Improvement,Teacher Improvement
01M015,P.S. 015 Roberto Clemente,0.863636364,0.863636364
01M019,P.S. 019 Asher Levy,0.838852084,0.847368421
01M020,P.S. 020 Anna Silver,0.56944818,0.670588236
01M034,P.S. 034 Franklin D. Roosevelt,0.482454367,0.626086957
01M063,The STAR Academy - P.S.63,0.715935744,0.776470588
01M064,P.S. 064 Robert Simon,0.675927725,0.863157895
01M110,P.S. 110 Florence Nightingale,0.581935706,0.654545455
01M134,P.S. 134 Henrietta Szold,0.707206736,0.733333333
01M137,P.S. 137 John L. Bernstein,0.62125239,0.769230769
01M140,P.S. 140 Nathan Straus,0.696892557,0.742857143
01M142,P.S. 142 Amalia Castro,0.645184147,0.683870968
01M184,P.S. 184m Shuang Wen,0.68307751,0.758823529
01M188,P.S. 188 The Island School,0.906433742,0.988888889
01M292,Henry Street School for International Studies,0.769230769,0.769230769
01M301,"Technology, Arts, and Sciences Studio",0.522403437,0.573333333
01M315,The East Village Community School,0.816,0.816
01M332,University Neighborhood Middle School,0.872727273,0.872727273
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",0.573475409,0.68
01M361,The Children's Workshop School,0.774045289,0.893333333
01M363,Neighborhood School,0.752877538,0.836363637
01M364,Earth School,0.947826087,0.947826087
01M378,School for Global Leaders,0.843478261,0.843478261
01M448,University Neighborhood High School,0.785672907,0.857142858
01M450,East Side Community School,0.846864202,0.873469387
01M458,Forsyth Satellite Academy,0.838275283,0.92
01M509,Marta Valle High School,0.619105804,0.645454546
01M515,Lower East Side Preparatory High School,0.869017378,0.882352941
01M539,"New Explorations into Science, Technology and Math High School",0.495458808,0.65925926
01M650,Cascades High School,0.7,0.7
01M696,Bard High School Early College,0.686759679,0.744827586
01M839,Tompkins Square Middle School,0.6055002,0.713043478
02M001,P.S. 001 Alfred E. Smith,0.665367348,0.748387097
02M002,P.S. 002 Meyer London,0.601238272,0.689361703
02M003,P.S. 003 Charrette School,0.72489533,0.82051282
02M006,P.S. 006 Lillie D. Blake,0.775457986,0.841025641
02M011,P.S. 011 William T. Harris,0.857142857,0.857142857
02M033,P.S. 033 Chelsea Prep,0.692272929,0.838461538
02M040,P.S. 040 Augustus Saint-Gaudens,0.758193848,0.892857142
02M041,P.S. 041 Greenwich Village,0.796534778,0.830434782
02M042,P.S. 042 Benjamin Altman,0.698214649,0.731914893
02M047,47 The American Sign Language and English Secondary School,0.851564441,0.87368421
02M051,P.S. 051 Elias Howe,0.807575779,0.856
02M059,P.S. 059 Beekman Hill International,0.786690861,0.884848484
02M077,P.S. 77 Lower Lab School,0.847058824,0.847058824
02M089,P.S. 89,0.785714286,0.785714286
02M104,J.H.S. 104 Simon Baruch,0.726893615,0.730555555
02M111,P.S. 111 Adolph S. Ochs,0.491805868,0.600000001
02M114,East Side Middle School,0.864516129,0.864516129
02M116,P.S. 116 Mary Lindley Murray,0.853803832,0.905
02M124,P.S. 124 Yung Wing,0.679693694,0.7125
02M126,P.S. 126 Jacob August Riis,0.699777628,0.768
02M130,P.S. 130 Hernando De Soto,0.882142857,0.882142857
02M131,M.S. 131,0.796454591,0.817142857
02M135,The Urban Assembly School for Emergency Management,0.755555556,0.755555556
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.870588235,0.870588235
02M150,P.S. 150,0.777777778,0.777777778
02M151,Yorkville Community School,0.806808976,0.815
02M158,P.S. 158 Bayard Taylor,0.591119559,0.807407407
02M167,J.H.S. 167 Robert F. Wagner,0.656243945,0.680487805
02M177,Yorkville East Middle School,1,1
02M183,P.S. 183 Robert L. Stevenson,0.751007035,0.834285715
02M198,P.S. 198 Isador E. Ida Straus,0.688590346,0.8
02M212,P.S. 212 Midtown West,0.9,0.9
02M217,P.S./I.S. 217 Roosevelt Island,0.739493917,0.837037037
02M225,Ella Baker School,0.735184607,0.837500001
02M234,P.S. 234 Independence School,0.697843829,0.816216216
02M255,M.S. 255 Salk School of Science,0.893575131,0.912
02M260,M.S. 260 Clinton School Writers & Artists,0.614020372,0.723076923
02M267,"East Side Elementary School, PS 267",0.886960795,0.91
02M276,BATTERY PARK CITY SCHOOL,0.64899664,0.786046512
02M280,Manhattan Early College School for Advertising,0.754743719,0.8
02M281,The River School,0.981818182,0.981818182
02M282,Urban Assembly Maker Academy,0.933333333,0.933333333
02M288,Food and Finance High School,0.692556118,0.755555556
02M289,I.S. 289,0.86,0.86
02M290,P.S. 290 Manhattan New School,0.803904103,0.847368421
02M294,Essex Street Academy,0.9,0.9
02M296,High School of Hospitality Management,0.781734325,0.824
02M298,Pace High School,0.728,0.728
02M300,"Urban Assembly School of Design and Construction, The",0.682479228,0.707692308
02M303,"Facing History School, The",0.758823529,0.758823529
02M305,"Urban Assembly Academy of Government and Law, The",0.721264822,0.74
02M308,Lower Manhattan Arts Academy,0.775317858,0.791304348
02M312,New York City Lab Middle School for Collaborative Studies,0.707727461,0.786206897
02M313,"James Baldwin School, The: A School for Expeditionary Learning",0.922222222,0.922222222
02M316,"Urban Assembly School of Business for Young Women, the",0.80167011,0.854545455
02M340,Sixth Avenue Elementary School,1,1
02M343,The Peck Slip School,0.728935029,0.8
02M347,The 47 American Sign Language & English Lower School,0.638938914,0.681081081
02M374,Gramercy Arts High School,0.716108118,0.78125
02M376,NYC iSchool,0.758965364,0.799999999
02M392,MANHATTAN BUSINESS ACADEMY,0.761290323,0.761290323
02M393,BUSINESS OF SPORTS SCHOOL,0.603081004,0.730434782
02M394,EMMA LAZARUS HIGH SCHOOL,0.773333333,0.773333333
02M397,SPRUCE STREET SCHOOL,0.681875728,0.781818182
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.652953875,0.7
02M400,High School for Environmental Studies,0.709118181,0.72
02M407,Institute for Collaborative Education,0.945454545,0.945454545
02M408,Professional Performing Arts High School,0.684830955,0.73
02M411,Baruch College Campus High School,0.78910314,0.904761905
02M412,N.Y.C. Lab School for Collaborative Studies,0.663997834,0.771428572
02M413,School of the Future High School,0.680242172,0.88275862
02M414,N.Y.C. Museum School,0.660166558,0.761904762
02M416,Eleanor Roosevelt High School,0.6625,0.6625
02M418,Millennium High School,0.780952381,0.780952381
02M419,Landmark High School,0.74,0.74
02M420,High School for Health Professions and Human Services,0.725937296,0.76097561
02M422,Quest to Learn,0.637717376,0.712820513
02M425,Leadership and Public Service High School,0.748498527,0.756097561
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.856,0.856
02M429,Legacy School for Integrated Studies,0.741943446,0.8
02M432,Murray Hill Academy,0.756068293,0.784
02M437,Hudson High School of Learning Technologies,0.832932466,0.845714285
02M438,International High School at Union Square,0.701278737,0.855555556
02M439,Manhattan Village Academy,0.68663345,0.712
02M442,"Ballet Tech, NYC Public School for Dance",0.883466184,1
02M449,Vanguard High School,0.916129032,0.916129032
02M459,Manhattan International High School,0.596689435,0.65882353
