DBN,How good is principal?
27Q045,0.13597919
05M133,0.132960758
30Q148,0.188285153
08X530,0.154558769
07X385,0.172711274
03M485,0.170034824
02M625,0.120290736
29Q327,0.143481322
28Q680,0.197398357
84X393,0.258993023
84K359,0.105728177
17K399,0.163732133
03M494,0.19418891
27Q106,0.181791643
30Q127,0.228573814
01M539,0.223565062
12X196,0.159028104
10X095,0.1623449
11X111,0.231810277
84K739,0.287083155
26Q186,0.285457597
08X405,0.208275993
11X418,0.205907064
12X372,0.242547886
84K742,0.317559705
30Q070,0.206110908
31R003,0.282890934
29Q496,0.26874779
30Q445,0.199840916
24Q087,0.227480613
15K169,0.27813302
30Q286,0.323537355
08X467,0.264872052
08X376,0.192669081
02M520,0.223592778
04M182,0.301926944
15K519,0.289992191
25Q460,0.264395247
11X544,0.244004908
19K345,0.237571374
06M173,0.257442054
22K535,0.253890632
09X163,0.272599779
02M630,0.268253051
03M242,0.264455952
11X288,0.348540956
08X123,0.309342654
25Q165,0.302279721
07X547,0.211156708
19K149,0.280924991
04M146,0.294373764
03M087,0.284750269
25Q540,0.343712239
75Q009,0.268351429
10X091,0.293401882
25Q242,0.385142719
02M655,0.313624168
19K659,0.348133832
84K791,0.179961526
10X237,0.271438729
27Q475,0.297516011
12X314,0.313687674
15K001,0.263077417
09X232,0.373330198
29Q135,0.348985925
09X339,0.287243167
22K405,0.301046141
27Q043,0.328472485
24Q485,0.303114182
10X024,0.389723564
11X108,0.305038172
22K269,0.307950735
04M108,0.313622601
10X546,0.417752235
30Q580,0.337460361
84K780,0.223201393
84K969,0.223201393
27Q282,0.349256333
19K306,0.361925279
21K281,0.367251702
27Q097,0.358405546
16K498,0.311648094
27Q226,0.346666225
12X061,0.293613698
14K250,0.272944414
14K126,0.385788078
84M482,0.222983394
01M020,0.369048715
17K061,0.318493055
06M348,0.341506585
84Q341,0.342950232
24Q058,0.389935831
75M094,0.312894712
30Q150,0.364126575
02M347,0.413991866
12X092,0.337351278
09X412,0.414154239
19K202,0.343018334
75X176,0.293813534
12X044,0.417725993
30Q152,0.278806629
03M163,0.415251929
75M138,0.317669294
12X521,0.312067892
28Q082,0.405073158
18K244,0.3177648
27Q183,0.379800013
29Q147,0.344349764
75R373,0.303109563
09X132,0.378870076
84K790,0.281499621
01M184,0.40761724
84K395,0.365778948
08X182,0.398896351
10X020,0.323702287
02M551,0.394477526
25Q107,0.37615581
29Q248,0.245305908
05M123,0.336903481
75K141,0.322765849
31R078,0.263921342
14K478,0.346893895
22K139,0.394897025
02M234,0.392929689
75X012,0.357581122
75K077,0.357808304
19K007,0.40599499
10X368,0.414087878
19K190,0.407101792
75M079,0.303845115
32K116,0.418872604
84K803,0.395129331
22K152,0.357297207
17K590,0.274637691
15K261,0.345529717
75Q023,0.32106896
11X097,0.381357226
84K731,0.338631168
08X367,0.407974692
09X229,0.42214912
84M483,0.406192952
75K370,0.403602422
13K282,0.336906974
02M460,0.330474293
10X445,0.306836214
07X500,0.352246833
24Q143,0.423706782
25Q020,0.309941337
17K181,0.317368788
06M463,0.420216659
29Q268,0.379669378
27Q306,0.432195604
13K430,0.404167436
84Q340,0.489934185
21K690,0.392745165
06M192,0.452071838
84X554,0.390224203
26Q172,0.371937152
28Q080,0.414168829
30Q085,0.369123518
28Q174,0.390984431
19K224,0.320558021
10X524,0.384136322
02M124,0.472487601
05M194,0.39772627
12X217,0.3794025
02M414,0.430479956
02M533,0.442062393
28Q354,0.497580456
84X464,0.275597511
09X028,0.398972706
13K305,0.377499341
84K386,0.408342458
07X600,0.331197363
08X333,0.475913119
08X432,0.460163218
08X152,0.36338636
01M034,0.386037842
24Q296,0.419730965
07X223,0.457506132
15K462,0.377376975
09X109,0.502294372
75M811,0.337460696
24Q330,0.358721505
16K005,0.327883495
12X480,0.40452501
32K403,0.497450779
75X811,0.361361221
17K600,0.454159208
11X068,0.416518558
31R022,0.459221027
31R074,0.373555485
09X145,0.370459108
18K211,0.377244314
75X352,0.353540243
84Q170,0.377311365
84Q706,0.36055711
84Q339,0.379886734
27Q351,0.413250059
06M223,0.394406049
19K661,0.388219939
15K429,0.459755072
18K589,0.414827715
18K135,0.415596636
07X473,0.518803419
84K769,0.462179621
24Q061,0.363742965
84K608,0.333875177
10X045,0.361019024
20K205,0.395734524
04M102,0.455728621
10X459,0.434552491
84K710,0.346779853
30Q575,0.43471735
10X080,0.428910615
31R018,0.426070531
12X066,0.457682396
75Q075,0.359768878
19K213,0.489833802
05M285,0.525571895
05M302,0.473727543
75X754,0.415920988
75X186,0.32764541
14K050,0.480464433
32K545,0.40663974
84M170,0.41016052
02M111,0.433377264
10X504,0.39753252
03M403,0.440278101
84K730,0.378605733
18K569,0.400332595
02M529,0.476692834
84M385,0.354166069
04M372,0.43053286
05M036,0.384361031
17K533,0.454120747
10X306,0.487330822
84K782,0.419140489
15K656,0.510727765
12X248,0.423844404
02M393,0.443923314
15K676,0.404153168
10X308,0.538011696
20K163,0.326679717
07X551,0.504933502
84M726,0.33931081
08X424,0.44546977
14K610,0.473769941
02M158,0.396155107
06M005,0.498929301
26Q415,0.382430962
24Q110,0.488040948
84K125,0.337513274
15K088,0.425612293
25Q164,0.432694321
10X246,0.439685189
29Q118,0.469176982
16K243,0.478576738
23K327,0.472639477
84M085,0.497548889
10X440,0.451104702
26Q115,0.447912984
24Q091,0.374492933
06M311,0.45837306
31R036,0.465081325
09X231,0.42580697
18K219,0.408968815
02M002,0.47934825
15K024,0.544657072
24Q007,0.454391636
17K352,0.464218857
02M225,0.48325961
02M198,0.474465905
28Q440,0.431737466
08X302,0.410875276
05M362,0.37789415
03M149,0.43561145
14K322,0.478266925
09X525,0.499936913
84Q321,0.456523122
06M468,0.553888889
12X006,0.467240434
19K290,0.402270271
12X211,0.496179016
75M035,0.454756099
12X067,0.468125325
02M260,0.471386894
05M286,0.481974421
17K382,0.503860375
84K788,0.320957934
26Q026,0.510056846
02M422,0.498254456
22K495,0.436370786
75K004,0.42631037
84K626,0.37494758
02M545,0.505997216
09X114,0.379522604
75X168,0.475160398
01M110,0.497655322
06M326,0.458823685
21K329,0.482059276
15K124,0.529162589
08X282,0.384551904
75Q752,0.466682723
13K350,0.473646844
09X350,0.562962963
28Q310,0.516409018
84M279,0.525685345
02M438,0.462013948
29Q492,0.448523495
10X118,0.431230797
08X559,0.409454804
05M499,0.427856227
06M098,0.505064495
75K231,0.551140169
06M368,0.470238726
29Q134,0.449929524
09X055,0.439999985
09X219,0.516586658
84X309,0.415187694
25Q219,0.422588576
06M048,0.458746733
75K140,0.438117626
26Q067,0.452838552
18K279,0.449339672
01M839,0.483648052
09X199,0.460066714
09X543,0.546437574
75K396,0.398225766
02M394,0.56984127
26Q566,0.5316754
13K670,0.421077399
03M860,0.500578362
09X443,0.40645227
12X251,0.471204873
24Q585,0.471293462
84K777,0.385325326
05M129,0.425642262
29Q295,0.523951367
28Q050,0.437008559
11X272,0.521242966
27Q210,0.44799253
28Q687,0.430092606
01M137,0.462623686
19K214,0.459541706
15K010,0.449648659
09X126,0.481465386
03M299,0.575836526
22K193,0.562467628
19K013,0.538612108
09X325,0.507025662
04M050,0.516902858
02M543,0.551238123
03M084,0.445510145
17K539,0.487581847
08X320,0.560872245
11X105,0.549994089
75X017,0.544024847
05M514,0.523298341
30Q204,0.557959292
84M353,0.490762324
03M479,0.484962724
09X110,0.481729246
04M497,0.499134454
84X465,0.464614724
06M218,0.485776753
27Q100,0.465071383
22K251,0.536329452
24Q128,0.409776014
31R006,0.514697045
19K502,0.553814801
11X514,0.445149836
04M007,0.448970937
09X313,0.52887343
09X035,0.453016679
15K029,0.467944281
06M004,0.485816995
84M386,0.391221774
84Q704,0.395366523
13K093,0.497336118
84M284,0.465501403
18K272,0.49458732
75X188,0.508759082
84K648,0.399075957
12X692,0.499110734
15K667,0.539551823
15K039,0.592592593
23K401,0.581088835
23K518,0.493460392
27Q060,0.434491275
13K113,0.547337834
16K594,0.575743292
75K721,0.504451238
32K383,0.438812199
04M057,0.450287255
11X127,0.398990789
16K455,0.497824039
17K012,0.443026861
25Q499,0.525545082
28Q175,0.465967252
18K629,0.583112772
17K489,0.51608338
84K793,0.59640592
84Q705,0.566572673
13K674,0.597222222
84M522,0.560409303
31R054,0.597675737
19K089,0.597777778
13K011,0.453158449
27Q260,0.561097974
28Q008,0.521839153
19K325,0.438064612
12X446,0.598611111
75M169,0.483865127
10X660,0.543143012
24Q014,0.48115704
28Q182,0.488581541
84K704,0.588403023
84K649,0.569853517
02M416,0.600694444
23K041,0.466711262
84X461,0.600823045
03M165,0.544394955
18K276,0.531265336
06M152,0.48569864
31R013,0.428429553
17K524,0.601505376
29Q035,0.567561409
17K722,0.500290294
27Q114,0.555524511
30Q017,0.483645342
02M475,0.585148361
18K617,0.603743961
20K200,0.505909229
09X403,0.576353706
13K265,0.450317176
10X390,0.495690369
10X226,0.527910875
30Q171,0.496436891
75K369,0.496676369
84M861,0.552542263
07X157,0.511588502
21K303,0.539325954
84K355,0.409549444
12X550,0.573264249
02M550,0.50541272
02M374,0.557585288
12X684,0.530669159
11X178,0.570964027
08X448,0.596544909
03M166,0.608888889
01M345,0.513668131
28Q072,0.56208821
29Q326,0.609661836
09X004,0.581650189
31R450,0.542799476
10X434,0.500880472
08X119,0.489994438
07X520,0.589804347
02M459,0.554950227
10X213,0.520414184
31R016,0.498961709
10X085,0.524295596
29Q192,0.425172473
17K544,0.549890571
03M333,0.518409682
84Q083,0.60245505
09X252,0.603078641
25Q154,0.485825573
11X265,0.596813283
11X545,0.547300669
12X478,0.584239356
84M068,0.442937452
10X009,0.607234404
22K425,0.422695414
27Q400,0.494626815
84M707,0.397096042
30Q076,0.579191722
31R455,0.583256387
10X284,0.51780491
02M312,0.556579293
11X076,0.58350877
24Q068,0.55365304
19K218,0.536591534
12X195,0.507634715
02M001,0.551098089
09X564,0.619883041
06M293,0.599451
17K241,0.505803354
84X200,0.580066344
20K445,0.538833503
09X323,0.583546112
11X455,0.455570578
18K366,0.601012219
20K186,0.525647994
75K372,0.439822443
17K397,0.584940571
13K008,0.499788602
02M413,0.480958547
06M325,0.541029528
25Q024,0.59574474
02M033,0.515685681
29Q494,0.53402218
18K068,0.572530669
29Q034,0.477544007
10X360,0.606457644
22K361,0.482168906
13K287,0.497968875
09X088,0.520950746
10X141,0.578161816
31R064,0.521872783
06M322,0.627609428
07X049,0.561793297
84X347,0.463904237
84X124,0.511063516
19K615,0.596393997
09X218,0.552073524
03M245,0.552255925
84X208,0.62932049
14K923,0.508443159
23K184,0.545507412
22K109,0.505029137
08X375,0.630452675
02M489,0.594854432
05M670,0.501647986
11X121,0.630687831
84X730,0.621314748
01M301,0.575625133
04M171,0.565197831
17K092,0.494798149
26Q495,0.586098477
11X417,0.499234256
31R049,0.593387273
12X383,0.529927433
31R045,0.52249223
31R041,0.537410231
21K337,0.633011272
29Q498,0.590477792
05M685,0.583944793
04M013,0.633333333
24Q013,0.552521767
84K357,0.564574092
31R044,0.552645267
16K021,0.545432183
19K166,0.534917308
29Q259,0.582148238
21K728,0.532154019
10X094,0.543373778
12X384,0.557963997
01M292,0.635714286
20K179,0.53992699
30Q166,0.486148843
19K639,0.636111111
10X207,0.502237093
10X008,0.518004958
06M132,0.614201117
20K229,0.526547979
08X093,0.458600145
11X087,0.515307948
30Q145,0.605343668
84X494,0.503642779
17K006,0.454696193
09X022,0.560872395
09X117,0.626108475
06M153,0.50868014
08X048,0.640156467
08X312,0.600610921
22K217,0.573121486
07X369,0.58060486
02M519,0.559694073
27Q650,0.574183137
09X517,0.609232342
32K556,0.596512699
13K307,0.527555266
23K137,0.543305141
28Q190,0.590992088
10X243,0.594866234
27Q123,0.608810347
84K680,0.49737435
12X134,0.612434402
04M037,0.645555556
10X397,0.559395651
19K292,0.605810139
23K165,0.525503642
25Q120,0.623571943
02M418,0.646746032
27Q480,0.589722531
18K235,0.46542601
28Q117,0.572374433
09X058,0.641421519
30Q234,0.491843344
84X177,0.551326026
10X307,0.570093649
12X691,0.612756519
01M509,0.623260997
84M709,0.567426584
24Q520,0.548439512
75K371,0.533052
15K442,0.628129138
31R031,0.564632558
03M415,0.615512107
21K288,0.534871936
11X142,0.591406811
16K309,0.63034346
07X203,0.487329547
75X723,0.520316748
84K979,0.534878429
