DBN,School Name,how loyal teachers feel towards their school
02M047,47 American Sign Language and English Secondary School,12.8
06M540,A. Philip Randolph Campus High School,48.8
21K410,Abraham Lincoln High School,78.46666667
30Q301,Academy for Careers in Television and Film,28.66666667
17K382,Academy for College Preparation and Career Exploration (College Board),16.13333333
18K637,Academy for Conservation and the Environment,16.26666667
32K403,Academy for Environmental Leadership,14.13333333
17K751,Academy for Health Careers,16.33333333
09X365,Academy for Language and Technology,18.86666667
11X270,Academy for Scholarship and Entrepreneurship (College Board),16.8
05M367,Academy for Social Action (College Board),11.66666667
02M546,Academy for Software Engineering,25.06666667
19K404,Academy for Young Writers,24.8
30Q575,Academy of American Studies,24.46666667
24Q264,Academy of Finance and Enterprise,21.93333333
17K408,Academy of Hospitality and Tourism,13.6
19K618,Academy of Innovative Technology,30.4
27Q309,Academy of Medical Technology (College Board),30.6
32K552,Academy of Urban Planning,20.2
13K499,ACORN Community High School,21.53333333
07X600,Alfred E. Smith Career and Technical Education High School,11.06666667
32K554,All City Leadership Secondary School,15.46666667
08X376,Antonia Pantoja Preparatory Academy (College Board),5.333333333
08X367,"Archimedes Academy for Math, Science, and Technology Applications",23.26666667
02M630,Art and Design High School,29.46666667
18K589,Arts and Media Preparatory Academy,5.466666667
11X299,Astor Collegiate Academy,20.66666667
27Q400,August Martin High School,18.66666667
14K610,Automotive High School,12.73333333
24Q610,Aviation Career and Technical Education High School,70.93333333
30Q580,Baccalaureate School for Global Education,14.73333333
08X530,Banana Kelly High School,3.466666667
01M696,Bard High School Early College,24.73333333
24Q299,Bard High School Early College Queens,24.53333333
02M411,Baruch College Campus High School,19.8
26Q495,Bayside High School,113.9333333
03M479,Beacon High School,35.26666667
13K595,Bedford Academy High School,11.93333333
10X434,Belmont Preparatory High School,15.4
13K670,Benjamin Banneker Academy,19.8
29Q313,Benjamin Franklin High School for Finance and Information Technology,7.466666667
26Q415,Benjamin N. Cardozo High School,63.6
16K455,Boys and Girls High School,22.73333333
10X264,Bronx Academy for Software Engineering (BASE),14.2
11X290,Bronx Academy of Health Careers,18.06666667
11X545,Bronx Aerospace High School,11.33333333
08X432,BRONX BRIDGES HIGH SCHOOL,15.33333333
12X479,Bronx Career and College Preparatory High School,21.6
09X260,Bronx Center for Science and Mathematics,22.46666667
10X351,Bronx Collaborative High School,15
09X227,Bronx Collegiate Academy,20.4
08X561,Bronx Compass High School,19.2
07X522,Bronx Design and Construction Academy,15.46666667
09X324,Bronx Early College Academy for Teaching and Learning,28.06666667
10X213,Bronx Engineering and Technology Academy,15.26666667
12X511,Bronx Envision Academy,13.93333333
08X452,Bronx Guild,19.2
11X249,Bronx Health Sciences High School,10.33333333
10X439,Bronx High School for Law and Community Service,20.46666667
09X413,Bronx High School for Medical Science,23.66666667
11X418,Bronx High School for the Visual Arts,6.4
11X253,Bronx High School for Writing and Communication Arts,14.46666667
09X412,Bronx High School of Business,19.66666667
10X445,Bronx High School of Science,42.86666667
09X403,Bronx International High School,22.06666667
11X265,Bronx Lab School,17.6
12X267,Bronx Latin,39.2
09X525,Bronx Leadership Academy High School,22.2
07X527,Bronx Leadership Academy II High School,19.86666667
08X349,Bronx River High School,12.6
09X505,"Bronx School for Law, Government, and Justice",34
10X284,Bronx School of Law and Finance,12.26666667
08X269,Bronx Studio School for Writers and Artists,22.53333333
10X546,Bronx Theatre High School,22.6
11X508,Bronxdale High School,24.2
17K547,Brooklyn Academy of Science and the Environment,24.4
22K555,Brooklyn College Academy,26.66666667
23K493,Brooklyn Collegiate (College Board),16.26666667
13K412,"Brooklyn Community High School of Communication, Arts, and Media",20.13333333
15K423,Brooklyn Frontiers High School,19.2
18K566,Brooklyn Generation School,18.33333333
16K498,Brooklyn High School for Law and Technology,11.13333333
15K656,Brooklyn High School of the Arts,29.33333333
17K745,Brooklyn Institute for Liberal Arts,12.86666667
13K439,Brooklyn International High School,24
19K639,Brooklyn Lab School,12
14K449,Brooklyn Latin School,38.53333333
